#TempestGridConnectivityFileV2.0
1,12
1.24234906255024e+02,-6.10635843339850e+01,3.60941352628411e+00,4,2,4,5,6
2.25606073107213e+02,-3.18011424043466e+01,3.15096567415421e-01,4,1,3,6,7
1.82409097754137e+02,-4.15258549408500e+01,4.49995497513232e+00,4,2,4,7,8
2.35765093744976e+02,-6.10635843339850e+01,3.68843906044792e+00,4,1,3,5,8
1.80000000000000e+02,1.14440023823551e-11,6.52416718951389e+00,4,1,4,9,12
2.96620156177409e+02,1.14440023823551e-11,6.52416718951389e+00,4,1,2,9,10
2.14571075555405e+02,5.77485447780080e-13,4.41081078906782e-01,4,2,3,10,11
6.33798438225911e+01,1.14440023823551e-11,6.52416718951389e+00,4,3,4,11,12
1.24234906255021e+02,6.10635843339854e+01,3.55540484740777e+00,4,5,6,10,12
2.25606073107211e+02,3.18011424043479e+01,2.74757878466716e-01,4,6,7,9,11
1.82409097754137e+02,4.15258549408504e+01,3.20746706981742e+00,4,7,8,10,12
2.35765093744979e+02,6.10635843339854e+01,3.55540484740777e+00,4,5,8,9,11
